English, Tamil
everything is possible with him, அமுதத்தைக் காக்கும் காவலர்களிடம்
the unachievable he can achieve, பெரும்பலமும் சக்தியும் கொண்ட ஒரு பறவையானவன் அமுதத்தை அபகரிக்க எண்ணங்கொண்டுள்ளான்
sauti continued, அவன் கருடன் அதை அபகரித்து விடக்கூடாது
indra, ஆகையால் உங்களை முன்கூட்டியே எச்சரிக்கிறேன்
having heard these words, அவன் அளவிலடங்காத சக்தி கொண்டவன் என்று பிருஹஸ்பதி சொன்னார் என்று தகவல் தெரிவித்தான்
then spoke unto those that guarded the amrita, தேவர்கள் இதைக் கேட்டு வியந்து
saying, பாதுகாப்பு நடவடிக்கைகளை மேற்கொண்டனர்
a bird endued with great strength and energy has set his heart on taking away the amrita, அமுதத்தைச் சுற்றி அவர்கள் நின்று கொண்டனர்
i warn you beforehand so that he may not succeed in taking it away by force, பெரும் வீரம் கொண்டவனும்
vrihaspati has told me that his strength is immeasurable, வஜ்ரதாரியுமான இந்திரனும் அவர்களுடன் நின்றான்
and the gods hearing of it were amazed and took precautions, பெரும் மதிப்புக் கொண்ட தங்கத்தில் ரத்தினங்கள் பதித்த மார்புக் கவசங்களையும்
and they stood surrounding the amrita and indra also of great prowess, உறுதியும் பளபளப்புமிக்கத் தோலாலான கவசங்களையும் தேவர்கள் அணிந்தனர்
the wielder of the thunder, அந்த வலிமைமிக்கத் தேவர்கள்
stood with them, பல்வேறு கூர்முனை கொண்ட
and the gods wore curious breastplates of gold, பயங்கரமான உருவங்களில் உள்ள பலதரப்பட்ட ஆயுதங்களைத் தரித்தனர்
of great value, கணக்கிலடங்காதவையாக இருந்த அந்த எல்லா ஆயுதங்களும் நெருப்புப் பொறிகளையும் புகையையும் கக்கிப் பிரகாசித்தன
and set with gems, நிறையச் சக்கரங்களையும்
and bright leathern armour of great toughness, கூர்முனை முட்களைக் கொண்ட இரும்புத் தண்டங்களையும்
and the mighty deities wielded various sharp-edged weapons of terrible shapes, திரிசூலங்களையும்
countless in number, போர்க்கோடரிகளையும்
emitting, பல்வேறு வகைப்பட்ட கூர்முனை கொண்ட கணைகளையும்
even all of them, பளபளப்பான வாட்களையும்
sparks of fire with smoke, கொடூரமான வடிவங்கள் கொண்ட கதாயுதங்களையும்
and they were also armed with many a discus and iron mace furnished with spikes, தங்கள் உடலில் தரித்துக் கொண்டனர்
and trident, பிரகாசமான ஆயுதங்களையும்
battle-axe, பிரகாசமான ஆயுதங்களையும்
and various kinds of sharp-pointed missiles and polished swords and maces of terrible form, தெய்வீக ஆபரணங்களையும் தரித்து ஒளிவீசி கொண்டு தங்கள் அச்சத்தைத் தணித்துக்கொண்டு
all befitting their respective bodies, தெய்வீக ஆபரணங்களையும் தரித்து ஒளிவீசி கொண்டு தங்கள் அச்சத்தைத் தணித்துக்கொண்டு
and decked with celestial ornaments and resplendent with those bright arms, தேவர்கள் அங்கே காத்திருந்தனர்
the gods waited there, தேவர்கள் அங்கே காத்திருந்தனர்
their fears allayed, ஒப்பற்ற பலமும்
and the gods, ஒப்பற்ற பலமும்
of incomparable strength, சக்தியும்
energy, சக்தியும்
and splendour, பிரகாசமும் கொண்ட தேவர்கள் அமுதத்தைக் காக்கத் தீர்மானித்துக் கொண்டனர்
resolved to protect the amrita, பிரகாசமும் கொண்ட தேவர்கள் அமுதத்தைக் காக்கத் தீர்மானித்துக் கொண்டனர்
capable of splitting the towns of the asuras, அசுரர்களின் நகரங்களை அழித்தொழிக்க வல்லவர்களான அவர்கள் தேவர்கள் நெருப்பு போலக் காட்சியளித்தனர்
all displayed themselves in forms resplendent as the fire, அசுரர்களின் நகரங்களை அழித்தொழிக்க வல்லவர்களான அவர்கள் தேவர்கள் நெருப்பு போலக் காட்சியளித்தனர்
and in consequence of the gods standing there, தேவர்கள் நூறாயிரக்கணக்கான கூர்முனை முட்கள் கொண்ட இரும்புக் கதைகளைக் கொண்டு அந்த போர்க்களமாகப் போகும் இடத்தில் நின்றதால்
that would be battle-field, தேவர்கள் நூறாயிரக்கணக்கான கூர்முனை முட்கள் கொண்ட இரும்புக் கதைகளைக் கொண்டு அந்த போர்க்களமாகப் போகும் இடத்தில் நின்றதால்
owing to hundreds of thousands of maces furnished with iron spikes, அந்த இடமே சூரியனின் கதிர்களால் பிரகாசிக்கும் இன்னொரு வானம் போலவே விளங்கியது என்றார் சௌதி
shone like another firmament illumined by the rays of the sun, அந்த இடமே சூரியனின் கதிர்களால் பிரகாசிக்கும் இன்னொரு வானம் போலவே விளங்கியது என்றார் சௌதி
saunaka said, சௌனகர்
o son of suta, ஓ சூதப் புதல்வா! சௌதியே
what was indras fault, ”இந்திரன் செய்த தவறு என்ன? அவன் கவனக்குறைவாகச் செய்த செயல் என்ன? எப்படி வாலகில்யர்களின் தவப்பயனின் விளைவால் கருடன் பிறந்தான்? கசியபர் எப்படிப் பறவைகளின் அரசனை கருடனை மகனாக அடைந்தார்? எப்படி எல்லா உயிரினங்களாலும் வெல்ல முடியாதவனாகவும்
what his act of carelessness? how was garuda born in consequence of the ascetic penances of the valakhilyas? why also kasyapa--a brahman--had the king of birds for a son? why, கொல்ல முடியாதவனாகவும் அவன் கருடன் இருக்கிறான்? எப்படி அந்த விண்ணோடியால் விரும்பிய இடத்திற்கெல்லாம் செல்லவும்
too, விரும்பிய சக்தியை அடையவும் முடிகிறது? இவ்விவரங்கள் புராணங்களில் உள்ளதெனில் நான் அதைக் கேட்க விரும்புகிறேன் என்று கேட்டார் சௌனகர்
was he invincible of all creatures and unslayable of all? why also was that ranger of the skies capable of going into every place at will and of mustering at will any measure of energy? these are described in the purana, அதற்குச் சௌதி
i should like to hear them, நீர் கேட்பவையெல்லாம் உண்மையில் புராணங்களில் உள்ளவைதான்
sauti said, ஓ இருபிறப்பாளரே பிராமணரே
what thou askest me is, நான் அனைத்தையும் விரிவாகச் சொல்கிறேன் கேட்பீராக
indeed, முன்பொரு காலத்தில்
the subject of the purana, உயிரினங்களின் தலைவரான பிரஜாபதியான கசியபர்
o twice-born one, புத்திரப்பேறுக்காக வேள்வி நடத்தினார்
listen as i briefly recite it all, முனிவர்களும்
once upon a time, தேவர்களும்
when the lord of creation, கந்தர்வர்களும் அவருக்கு உதவி செய்தனர்
kasyapa, கசியபர்
was engaged in a sacrice from desire of offspring, இந்திரனையும்
the rishis, அவனுக்கு உதவியாகத் துறவிகளான வாலகில்யர்களையும்
the gods, மற்ற தேவர்களையும் வேள்விக்குத் தேவையான எரிபொருளைக் சமித்துக்களை கொணர்வதற்கு நியமித்திருந்தார்
and the gandharvas, தேவனான இந்திரன்
all gave him help, மலைக்கு நிகரான பெரும் சுமையைத் தன் பலத்திற்கேற்றபடி எந்தவொரு சிரமுமின்றிக் கொண்டு வந்தான்
and indra was appointed by kasyapa to bring the sacricial fuel, வரும் வழியில்
and with him those ascetics the valakhilyas, கட்டைவிரல் அளவே உள்ள வாலகில்ய முனிவர்கள் அனைவரும் சேர்ந்து ஒரு பலாச இலையின் குச்சியைச் சுமந்து கொண்டு வருவதைக் கண்டான்
and all, அந்த முனிவர்கள் உணவில்லாமல் மிகவும் உடல்மெலிந்து
the other deities, அவர்கள் உடலுக்குள்ளே தங்கள் உடல் மறைந்திருந்தனர் எலும்போடு ஒட்டி இருந்தனர்
and the lord indra, பாதையிலே மாடுகளின் குளம்புகள் ஏற்படுத்திய பள்ளத்தில் தேங்கிய நீரில் மூழ்கி மிகவும் சிரமப்படும் அளவுக்குப் பலவீனமாக அவர்கள் இருந்தனர்
taking up according to his own strength, புரந்தரன் இந்திரன்
a weight that was mountain-like, தனது பலத்தில் கர்வங்கொண்டு
brought it without any fatigue, அவர்கள் தலைக்குமேல் தாண்டிச் சென்றது[] மட்டுமல்லாமல்
and he saw on the way some rishis, அவர்களைத் திரும்பிப்பார்த்து
of bodies of the measure of the thumb, கேலியாகச் சிரித்தும் அவமதித்தான்
all together carrying one single stalk of a palasa butea frondosa leaf, இப்படி அவமதிக்கப்பட்ட முனிவர்கள் மிகுந்த கோபமும்
and those rishis were, துன்பமும் கொண்டு ஒரு பெரிய வேள்விக்கு ஏற்பாடு செய்து
from want of food, இந்திரனைப் பீதியடையச் செய்தனர்
very lean and almost merged in their own bodies, [] தலையைத் தாண்டிச் செல்வது அவமதிக்கும் செயலாகவே இன்றும் நம்மால் கொள்ளப்படுகிறது
and they were so weak that they were much afflicted when sunk in the water that collected in an indentation on the road produced by the hoof of a cow, ஓ சௌனகரே! கேளும்
and purandara, தங்கள் விருப்பத்தை நிறைவேற்ற
proud of his strength, விரதங்களை மேற்கொள்பவர்களும்
beheld them with surprise, ஞானமுள்ளவர்களும்
and laughing at them in derision soon left them behind insulting them, சிறந்தவர்களுமான அந்தத் துறவிகள் வேள்வித்தீயில்
besides, சுத்தமான நெய்யை விட்டு
by passing over their heads, சத்தமாக
and those rishis being thus insulted were filled with rage and sorrow, “அனைத்து இடத்திற்கும் தன் விருப்பப்படி செல்லக்கூடியவனும்
and they made preparations for a great sacrice at which indra was terried, விரும்பிய அளவு சக்தியை அடையக்கூடியவனும்
hear, இப்போது இருக்கும் தேவர்களின் தலைவனுக்கு அச்சத்தைத் தரக்கூடியவனாக இன்னொரு இந்திரன் உண்டாகட்டும்
o saunaka, எங்கள் தவங்களின் பயனாக மனம் போல் வேகங்கொண்டவனாகவும்[]
of the wish for accomplishment of which those vow-observing wise, பயங்கரமானவனாகவும் ஒருவன் தோன்றட்டும்” என்று மந்திரங்களைச் சொன்னார்கள்
and excellent ascetics poured claried butter of the sacricial fire with loudly uttered mantras, இதைக் கேள்விப்பட்டவனும்
there shall be another indra of all gods, ஆயிரம் வேள்விகளைச் செய்தவனுமான தேவர்களின் தலைவன் இந்திரன்
capable of going everywhere at will, பெரும் அச்சங்கொண்டு
and of mustering at will any measure of energy, நோன்புகள் நோற்கும் கசியபரிடம் தஞ்சம் புகுந்தான்
and striking tear into the present king of the gods, [] மனம் போன்ற வேகம் என்றால் அளவிட முடியாத வேகம் என்று பொருள்
by the fruit of our ascetic penance, இங்கிருந்து நாம் சூரியனை நினைத்துக் கொள்கிறோம்
let one arise, அப்படியானால் நம் மனமானது சூரியனை அடைந்த விட்டதாகப் பொருள்
fleet as the mind, இதுவே அளவிட முடியாத மனோவேகமாகும்
and fierce withal, பிரஜாபதியான கசியபர் இந்திரனிடம் இருந்து அனைத்தையும் கேட்டுக்கொண்டு
and the lord of the celestials of a hundred sacrices, வாலகில்யர்களிடம் சென்று அவர்களது வேள்வி வெற்றிகரமாக முடிந்ததா என்று கேட்டார்
having come to know of this, அந்த உண்மை பேசும் முனிவர்கள்
became very much alarmed and sought the protection of the vow-observing kasyapa, நீங்கள் சொல்வது போலவே நடக்கட்டும் என்றனர்
and the prajapati kasyapa, பிரஜாபதியான கசியபர் அவர்களை அமைதிப்படுத்தி
hearing everything from indra, பிரம்மனின் வார்த்தைகளால்
went to the valakhilyas and asked them their sacrice had been successful, இவன் இந்திரன் மூன்று உலகங்களிலும் தேவர்களுக்குத் தலைவனாக நியமிக்கப்பட்டுள்ளான்
and those truth-speaking rishis replied to him, துறவிகளே
saying, நீங்களும் மற்றுமொரு இந்திரனை உற்பத்தி செய்யப் பாடுபடுகிறீர்கள்! சிறந்தவர்களே
let it be as thou sayest! and the prajapati kasyapa pacying them, பிரம்மனின் வார்த்தைகளைப் பொய்யாக்காமல் இருக்கச் செய்வதே உங்களுக்குத் தகும்
spake unto them as follows, உங்களுடைய இந்த முயற்சியும் பலனில்லாமல் போகவேண்டாம்
by the word of brahman, பெரும்பலம் கொண்டவனாக
this one indra hath been made the lord of the three worlds, சிறகுள்ள உயிரினங்களுக்கு இந்திரனாக தலைவனாக ஒருவன் தோன்றட்டும்
ye ascetics, உங்கள் முன் பணிந்து நிற்கும் இந்த இந்திரன் மீது கருணை கொள்ளுங்கள் என்று சொன்னார் கசியபர்
ye also are striving to create another indra! ye excellent ones, கசியபரால் இப்படி வேண்டிக்கொள்ளப்பட்ட வாலகில்யர்கள்
it behoveth you not to falsy the word of brahman, முனிவர்களில் முதல்வரான பிரஜாபதி கசியபருக்குத் தங்கள் மரியாதைகளைச் செலுத்திவிட்டுப் பேசத் தொடங்கினர்
let not also this purpose, அந்த வாலகில்யர்கள்
for accomplishing which ye are striving, ஓ பிரஜாபதி! எங்கள் எல்லோராலும் நடத்தப்படும் இந்த வேள்வியானது ஓர் இந்திரனுக்காக நடைபெறுகிறது! உண்மையில் அவன் உமக்கு மகனாகப் பிறக்கவே இந்த வேள்வி நடைபெறுகிறது
be rendered futile, இதன் பலனை உம் கையிலேயே விடுகிறோம்
let there spring an indra lord of winged creatures, இந்த விஷயத்தில் எது நன்மையாகவும்
endued with excess of strength! be gracious unto indra who is a suppliant before you, சரியாகவும் இருக்குமோ அதைச் செய்யும் என்று சொன்னார்கள்
and the valakhilyas, சௌதி தொடர்ந்தார்
thus addressed by kasyapa, அப்பொழுது
after offering reverence to that first of the munis, மனதிற்கினியவளும்
viz, நற்பேறு பெற்றவளும்
the prajapati kasyapa, நோன்பு நோற்பவளும்
spake unto him:, தக்ஷனின் நன்மகளுமான வினதை
the valakhilyas said, பிள்ளைப்பேற்றின் மீதுள்ள ஆசையால்
o prajapati, தனது நோன்புகளை முடித்துக் குளித்துத் தன்னைச் சுத்தப்படுத்திக் கொண்டு
this sacrice of us all is for an indra! indeed this hath also been meant for a son being born unto thee! let this task be now left to thee, உறவுக்கான சரியான கனிதரும் காலம் வந்தவுடன் தனது நாயகனை நெருங்கினாள்
and in this matter do whatsoever thou seest to be good and proper, கசியபர் அவளிடம்
sauti continued, மதிப்புக்குரியவளே
meanwhile, நான் நடத்திய வேள்வி இப்போது கனி தந்திருக்கிறது
moved by the desire of offspring, நீ என்ன ஆசைப்பட்டாயோ அஃது உனக்குக் கிடைக்கும்
the good daughter of daksha, மூன்று உலகங்களுக்கும் தலைவர்களான வீர மகன்கள் இருவர் உனக்குப் பிறப்பார்கள்
the vow-observing, எனது வேள்வியின் தூய்மையான நோக்கத்தாலும்
amiable, வாலகில்யர்களின் தவப்பயனாலும்
and fortunate vinata, அந்த மகன்கள் மிகுந்த நற்பேறு பெற்றவர்களாகவும்
her ascetic penances over, மூவுலகங்களாலும் வழிபடத் தகுந்தவர்களாகவும் இருப்பார்கள் என்று சொன்னார்
having puried herself with a bath in that season when connubial companionship might prove fruitful, புகழ்பெற்றவரான கசியபர் மீண்டும் அவளிடம் வினதையிடம்
approached her lord, இந்தப் புனிதமான விதைகளை
and kasyapa spake unto her, மிகுந்த கவனத்துடன் சுமந்து வா
respected one, இந்த இருவரும் எல்லாச் சிறகுள்ள உயிரினங்களுக்கும் பறவைகளுக்கும் தலைவர்கள் ஆவார்கள்
the sacrice commenced by me hath borne fruit, நினைத்த மாத்திரத்தில் நினைத்த உருவை அடையும் இந்த வீரமிக்க விண்ணோடிகள் மூன்று உலகங்களாலும் மதிக்கப்படுவார்கள் என்று சொன்னார்
what hath been desired by thee shall come to pass, நினைத்த மாத்திரத்தில் நினைத்த உருவை அடையும் இந்த வீரமிக்க விண்ணோடிகள் மூன்று உலகங்களாலும் மதிக்கப்படுவார்கள் என்று சொன்னார்
two heroic sons, நடைபெற்ற காரியங்களால் திருப்தியடைந்த பிரஜாபதி கசியபர்
shall be born unto thee, நடைபெற்ற காரியங்களால் திருப்தியடைந்த பிரஜாபதி கசியபர்
who shall be the, ஆயிரம் வேள்வி செய்த இந்திரனிடம்
lords of the three worlds, ஆயிரம் வேள்வி செய்த இந்திரனிடம்
by the penances of the valakhilyas and by virtue of the desire with which i commenced my sacrice, பெரும் பலமும் வீரமும் மிக்க இரு சகோதரர்கள் உனக்கு உதவி செய்யக் கிடைப்பார்கள்
those sons shall be of exceedingly good fortune and worshipped in the three worlds! and the illustrious kasyapa spake unto her again, பெரும் பலமும் வீரமும் மிக்க இரு சகோதரர்கள் உனக்கு உதவி செய்யக் கிடைப்பார்கள்
bear thou these auspicious seeds with great care, அவர்களால் உனக்கு எந்த இன்னலும் ஏற்படாது
these two will be the lords of all winged creatures, அவர்களால் உனக்கு எந்த இன்னலும் ஏற்படாது
these heroic rangers of the skies will be respected in all the worlds, உன் வருத்தம் தீரட்டும்
and capable of assuming any form at will, உன் வருத்தம் தீரட்டும்
and the prajapati, நீயே எல்லோருக்கும் தலைவனாக இருப்பாய்
gratied with all that took place, நீயே எல்லோருக்கும் தலைவனாக இருப்பாய்
then addressed indra of a hundred sacrices, இனி எப்போதும்
saying, இனி எப்போதும்
thou shalt have two brothers of great energy and prowess, பிரம்மனின் பெயரை உச்சரிப்பவர்களைச் சிறுமைப்படுத்தாதே
who shall be to thee even as the helpmates, பிரம்மனின் பெயரை உச்சரிப்பவர்களைச் சிறுமைப்படுத்தாதே
from them no injury shall result unto thee, கோபக்காரர்களை
let thy sorrow cease, கோபக்காரர்களை
thou shalt continue as the lord of all, இடியைப் போன்ற வார்த்தைகளை உச்சரிப்பவர்களை அவமதிக்காதே என்று அறிவுரை கூறினார்
let not, இடியைப் போன்ற வார்த்தைகளை உச்சரிப்பவர்களை அவமதிக்காதே என்று அறிவுரை கூறினார்
however, இதைக் கேட்ட இந்திரன் பயத்தை விட்டு
the utterers of the name of brahma be ever again slighted by thee, இதைக் கேட்ட இந்திரன் பயத்தை விட்டு
nor let the very wrathful ones, தேவலோகம் சென்றான்
whose words are even the thunderbolt, தேவலோகம் சென்றான்
be ever again insulted by thee, வினதையும்
indra, வினதையும்
thus addressed, தனது நோக்கம் நிறைவேறியதால்
went to heaven, தனது நோக்கம் நிறைவேறியதால்
his fears dispelled, மிகவும் மகிழ்ந்தாள்
and vinata also, மிகவும் மகிழ்ந்தாள்
her purpose fulfilled, அவள் அருணன் மற்றும் கருடன் ஆகிய இரு மகன்களைப் பெற்றாள்
was exceedingly glad, அவள் அருணன் மற்றும் கருடன் ஆகிய இரு மகன்களைப் பெற்றாள்
and she gave birth to two sons, குறை உடலுடன் பிறந்தவனான அருணன் சூரியனுக்குச் சாரதியாக நின்றான்
aruna and garuda, குறை உடலுடன் பிறந்தவனான அருணன் சூரியனுக்குச் சாரதியாக நின்றான்
and aruna, கருடனுக்குப் பறவைகளின் தலைமை கொடுக்கப்பட்டது
of undeveloped body, கருடனுக்குப் பறவைகளின் தலைமை கொடுக்கப்பட்டது
became the fore-runner of the sun, ஓ பிருகுவின் வழித்தோன்றலே! சௌனகரே
and garuda was vested with the lordship over the birds, ஓ பிருகுவின் வழித்தோன்றலே! சௌனகரே
o thou of bhrigus race, கருடனின் பெரும் சாதனைகளைக் கவனமாகக் கேளும் என்றார் சௌதி
hearken now to the mighty achievement of garuda, கருடனின் பெரும் சாதனைகளைக் கவனமாகக் கேளும் என்றார் சௌதி
